"country","year","group","country_code","region","fh_regime_class","membership","visa_free","visa_dialogue","taxation","customs","public_procurement","competition","business_environment","sme_development","money_laundering","budget_control","anticorruption_policy","public_administration","elections","judiciary","civil_society_development","freedom_of_expression","human_rights","minority_rights","freedom_of_assembly","assistance_manual","assistance_fts","words","corruption","progress_words","positive","negative","difference","internet_pct","broadband","fh_national_democratic_governance","fh_electoral_process","fh_civil_society","fh_independent_media","fh_local_democratic_governance","fh_judicial_independence","fh_corruption","fh_democracy_score","fh_democracy_percentage","fh_dem_percentage_rounded","e_wbgi_cce","v2x_cspart","v2juhcind","v2jucorrdc","v2juaccnt","v2xcs_ccsi","v2cseeorgs","v2csreprss","v2cscnsult","v2csstruc_nr","v2csprtcpt","v2csantimv","v2cacamps","v2caassemb","v2capolit","v2x_corr","v2x_execorr","v2x_pubcorr","e_fh_cl","e_fh_pr","e_fh_rol","e_fh_status","e_wbgi_gee","e_wbgi_pve","e_wbgi_rle","e_wbgi_rqe","e_wbgi_vae","e_migdppcln","e_ti_cpi","v2x_freexp_altinf","v2x_polyarchy","v2x_libdem","v2x_partipdem","internet_pct_norm","broadband_norm","coc_norm","fh_independent_media_norm","progress_borzel","progress_corr_only","progress_ipi","socialisation_borzel","socialisation_ipi","socialisation_corr_only","socialisation_coc","population","assistance_man_per_capita","assistance_fts_per_capita","export","export_per_capita","gee_dum","year_factor","v2smpolsoc","v2smpolsoc_ord","pred","gdp","assistance_share","export_share","duration","georgia","pred_ipi","pred_coc","progress_dum","progress_ipi_logit","socialisation_ipi_logit","socialisation_e_wbgi_cce","pred_ipi_plm","pred_coc_plm"
"Ukraine",2017,"EaP","ukr","Eurasia","T/H","0",1,"2",1,0,1,1,1,2,2,1,1,2,0,2,1,1,1,1,1,119.4,123.42604124,9774,0.0021485574,0.002455494,0.1236628,0.03110976,0.09255303,58.89,12.35,2.25,4.5,5.5,4,3,2.25,2.25,3.39,39.88,40,-0.784,0.743,-0.871,-1.289,0.98,0.786,1.021,1.922,1.167,11,0.848,0.366,1.482,1.204,0.591,0.762,0.622,0.615,3,3,6,2,-0.46,-1.87,-0.711,-0.321,0.015,9.16,30,0.659,0.41,0.253,0.276,1.22417412440614,0.86718200983837,0.226600985221675,1.6,0.566666666666667,0.75,0.612139838926855,0.5,0.533072655371934,0.75,0.27807881773399,44831135,2.66,2.75313219796911,16691.5,372.319371347614,1,"2017",-1.299,0,0.56800370531958,112190355158.178,2.37097029976387e-05,0.148778386310183,13,0,0.56800370531958,0.386242774839024,1,0.45631588633502,0.133639346489347,-0.6795,0.0108974583165096,0.0304516275490829
"Ukraine",2018,"EaP","ukr","Eurasia","T/H","0",1,"2",2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,0,2,147,22.74315803,11641,0.0017180655,0.002147582,0.12121509,0.04107886,0.08013623,62.55,12.8,2.25,4.5,5.25,3.75,3.25,2.25,2.25,3.36,39.29,39,-0.874,0.719,-0.71,-1.313,0.98,0.751,0.902,1.664,0.887,11,0.921,0.153,1.139,1.497,0.591,0.75,0.622,0.562,4,3,6,2,-0.42,-1.859,-0.718,-0.297,-0.012,9.19,32,0.677,0.405,0.252,0.269,1.30504916583803,0.898805340829234,0.182266009852217,1.46666666666667,0.8,0.833333333333333,0.777938382222247,0.516666666666667,0.553755781376965,0.5625,0.465394088669951,44622518,3.29,0.509678947969722,18014.7,403.713210446797,1,"2018",-1.299,0,0.564398285583934,130901858421.72,2.51333330150346e-05,0.137619894913661,14,0,0.564398285583934,0.160700224348074,1,1.25369241989566,0.24299473491598,-0.29925,0.107362047932342,0.0134080815723004
"Ukraine",2019,"EaP","ukr","Eurasia","T/H","0",1,"2",2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,0,1,109,26.12835444,14099,0.0019859565,0.0026243,0.11109264,0.04545444,0.0656382,66,16.16,2.25,4.5,5,3.75,3.25,2.5,2.25,3.36,39.29,39,-0.71,0.747,-0.242,-1.313,0.634,0.729,0.902,1.306,1.037,11,1.078,-0.008,1.028,1.814,0.591,0.673,0.381,0.479,3,3,NA,2,-0.3,-1.524,-0.698,-0.259,0.055,9.19,30,0.72,0.494,0.316,0.318,1.38128383604022,1.13492621222769,0.263054187192118,1.46666666666667,0.733333333333333,0.833333333333333,0.832619863122274,0.466666666666667,0.586389432320466,0.5,0.185221674876847,44385155,2.46,0.588673272403803,19803.3,446.169445617572,1,"2019",-1.125,0,0.586801168739553,153781069118.148,1.59967674441775e-05,0.128775928750927,15,0,0.586801168739553,0.504456395599459,1,1.60430969684626,0.349059255778207,-0.868,0.254788665074613,-0.0317643396328973
"Armenia",2004,"EaP","arm","Eurasia","SCA","0",0,"0",0,1,1,2,0,1,0,2,1,1,1,0,0,0,1,1,0,55,55,14408,0.0015269295,0.00270683,0.1282367,0.03182847,0.09640823,4.9,0.03,3,2.25,4.5,2.5,2.5,2.75,2.25,2.82,30.36,30,-0.61,0.489,-0.76,-1.169,-0.486,0.762,1.767,0.535,-0.351,5,0.362,-0.829,1.119,0.833,1.344,0.855,0.833,0.783,4,5,NA,2,-0.09,-0.117,-0.423,0.129,-0.572,8.89,NA,0.609,0.351,0.189,0.177,0.0311567782565462,0.00140548137737175,0.312315270935961,0.8,0.4,0.416666666666667,0.243023427484747,0.391666666666667,0.359995832321719,0.5,0.175862068965517,3000720,18.33,18.32893438908,247.5,82.4802047508598,1,"2004",-0.037,1,0.429144584032371,3576615240.41616,0.00512495719217122,0.0691995038222792,0,0,0.429144584032371,0.465982360709738,0,-1.13617445706265,-0.601229351210977,-0.887,-0.478418893624565,-0.0883188286590826
"Armenia",2007,"EaP","arm","Eurasia","SCA","0",0,"0",2,0,0,0,1,0,1,0,0,0,2,2,0,1,2,0,0,21,7.415199,8061,0.0023570277,0.003845677,0.99824435,0.05342054,0.94482381,6.02,0.13,2.75,2.25,4.5,2.25,2.5,3,2.25,2.79,29.76,30,-0.742,0.495,-0.76,-1.169,-0.486,0.772,1.767,0.633,-0.351,9,0.362,0.265,0.505,1.115,1.344,0.855,0.833,0.783,4,5,6,2,-0.38,0.15,-0.498,0.272,-0.759,9.18,NA,0.582,0.351,0.192,0.181,0.0559054248149376,0.0084328882642305,0.247290640394089,0.666666666666667,0.366666666666667,0.25,0.32212520748941,0.441666666666667,0.414138418221111,0.541666666666667,0.278571428571429,2932618,7.16,2.52852536539024,354.7,120.949949840041,1,"2007",-0.337,1,0.414529421197237,9206301700.39619,0.000777728151108916,0.0385279574299347,3,0,0.414529421197237,0.279791807646654,0,-0.744022285973846,-0.361268861973316,-0.6785,-0.476981770544291,-0.105961458765594
"Armenia",2008,"EaP","arm","Eurasia","SCA","0",0,"0",2,2,1,2,2,2,2,0,0,1,1,1,2,0,0,2,1,24,18.13275018,9124,0.0016440158,0.003178431,0.06841523,0.0259796,0.04243563,6.21,0.47,2.75,2.5,4.5,2.25,2.5,2.75,2.25,2.79,29.76,30,-0.708,0.495,-0.76,-1.169,-0.486,0.653,1.085,0.311,-0.351,9,0.362,0.755,2.352,0.447,1.344,0.848,0.833,0.751,4,6,5,2,-0.17,-0.009,-0.341,0.338,-0.858,9.22,NA,0.549,0.324,0.176,0.17,0.0601038559275218,0.0323260716795502,0.264039408866995,0.666666666666667,0.6,0.416666666666667,0.531629024761406,0.441666666666667,0.440194967223163,0.479166666666667,0.277093596059113,2907618,8.25,6.23629038615114,318.4,109.505443975103,1,"2008",-1.535,0,0.388536771004284,11662040713.8753,0.000707423357747696,0.0273022541947717,4,0,0.388536771004284,0.291076727935484,1,0.126685260177764,-0.244675525290875,-0.6815,-0.295926217696909,0.0172067198477436
"Armenia",2009,"EaP","arm","Eurasia","SCA","0",0,"0",2,2,1,1,2,1,1,0,1,2,1,1,1,1,2,1,0,24.7,21.10502332,9240,0.0017316017,0.004220779,0.78877416,0.0457212,0.74305296,15.3,1.38,2.25,2.25,4.25,2,2.5,2.5,2.5,2.61,26.79,27,-0.62,0.515,-0.76,-1.169,-0.486,0.758,1.764,0.311,-0.351,9,0.696,0.451,1.667,0.576,1.344,0.848,0.833,0.751,4,6,6,2,-0.03,0.228,-0.476,0.296,-0.876,9.04,NA,0.578,0.326,0.182,0.173,0.260965639155894,0.0962754743499649,0.307389162561576,0.533333333333333,0.633333333333333,0.5,0.495440601951633,0.466666666666667,0.4668978572051,0.541666666666667,0.237192118226601,2888092,8.55,7.30760076895057,161,55.7461465908981,1,"2009",-1.535,0,0.401448169641555,8647936747.98704,0.000988675131324262,0.0186171574436499,5,0,0.401448169641555,0.335650408604717,1,-0.0182380977188004,-0.135911272808978,-0.7625,-0.194461190337343,0.0313661750500342
"Armenia",2010,"EaP","arm","Eurasia","SCA","0",0,"0",0,1,1,1,0,1,2,2,2,2,0,0,0,1,0,0,1,27.7,54.8552404,9115,0.0020844761,0.006143719,0.13386369,0.03690148,0.09696221,25,3.25,2.25,2.25,4.25,2,2.5,2.5,2.5,2.61,26.79,27,-0.696,0.577,-1.029,-1.169,-1.15,0.78,1.541,0.76,-0.2,9,1.015,0.141,0.386,1.142,1.344,0.845,0.819,0.751,4,6,6,2,-0.18,0.072,-0.489,0.309,-0.848,9.03,NA,0.639,0.339,0.191,0.184,0.475306595956248,0.227687983134224,0.269950738916256,0.533333333333333,0.433333333333333,0.75,0.384846996350992,0.458333333333333,0.492323535945899,0.458333333333333,0.251231527093596,2877319,9.63,19.0647058598647,259.9,90.3271413423399,1,"2010",-0.628,1,0.449519899873202,9260284937.79781,0.00103992480411624,0.0280660910269794,6,0,0.449519899873202,0.303300346885425,0,-0.469025180062128,-0.0311580383798062,-0.734,-0.118627099212471,-0.0759297917101214
"Armenia",2011,"EaP","arm","Eurasia","SCA","0",0,"0",2,2,2,1,0,2,2,2,0,1,0,0,0,0,1,2,1,24,22.46756234,7289,0.0021950885,0.005076142,0.06487024,0.03619938,0.02867086,32,5.58,2.25,2.25,4.25,2,2.25,2.5,2.5,2.57,26.19,26,-0.657,0.598,-1.029,-1.169,-0.93,0.797,1.777,0.76,-0.2,9,1.015,-0.601,0.612,1.493,1.344,0.845,0.819,0.751,4,6,6,2,-0.13,-0.064,-0.441,0.273,-0.691,9.04,NA,0.648,0.344,0.193,0.186,0.629985636946194,0.391426563598032,0.289162561576355,0.533333333333333,0.566666666666667,0.583333333333333,0.564781063911565,0.425,0.493512272301263,0.520833333333333,0.276477832512315,2876538,8.34,7.81062594688476,322.1,111.974880915879,1,"2011",-0.628,1,0.463880121109811,10142111334.4961,0.000822313986204566,0.031758673256174,7,0,0.463880121109811,0.263983144898354,1,0.260588952720465,-0.0356366493626103,-0.68275,-0.0358161527730815,-0.090400120135851
"Armenia",2012,"EaP","arm","Eurasia","SCA","0",0,"1",2,1,1,0,0,0,2,0,0,1,0,0,0,1,1,0,1,60,29.01880144,7458,0.0022794315,0.004827031,0.06842299,0.03039647,0.03802652,37.5,7.35,2.25,2.25,4.25,2,2.25,2.5,2.75,2.61,26.79,27,-0.588,0.598,-1.029,-1.169,-0.93,0.773,1.536,0.76,-0.2,9,1.015,-0.441,1.11,1.493,1.632,0.839,0.819,0.732,4,5,6,2,-0.04,0.155,-0.418,0.349,-0.57,9.11,34,0.653,0.364,0.207,0.195,0.75151916915258,0.515811665495432,0.323152709359606,0.533333333333333,0.3,0.333333333333333,0.366694340332556,0.6,0.568975807229358,0.611111111111111,0.392775041050903,2884229,20.8,10.0611988299126,275.4,95.4847898693204,1,"2012",-0.467,1,0.57104338316473,10619320048.5857,0.00195869414471317,0.0259338638199042,8,0,0.57104338316473,0.230299840554528,0,-0.546424539365222,0.303029363308554,-0.446666666666667,0.305727490963609,0.078555641981646
"Armenia",2013,"EaP","arm","Eurasia","SCA","0",0,"1",2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,41,13.36948496,8617,0.0018567947,0.00348149,0.06539434,0.03089641,0.03449793,41.9,8.39,2.25,2.25,4.25,2.25,2.25,2.5,2.75,2.64,27.38,27,-0.532,0.531,-0.902,-1.169,-1.162,0.743,1.463,0.725,-0.409,9,0.775,-0.418,1.47,1.282,1.632,0.838,0.828,0.709,4,5,6,2,0.07,0.11,-0.344,0.253,-0.588,9.15,36,0.627,0.36,0.212,0.185,0.848745994917689,0.588896697118763,0.350738916256158,0.666666666666667,0.266666666666667,0.0833333333333333,0.296012889945963,0.516666666666667,0.555909796077867,0.5625,0.319088669950739,2897584,14.15,4.61401117620749,260.9,90.0405303176715,1,"2013",-0.467,1,0.552847333333175,11121465767.4067,0.00127231430603949,0.0234591379820285,9,0,0.552847333333175,0.293435887022462,0,-0.866357045917434,0.254625051803969,-0.59625,0.105720266106904,0.0926991329663789
"Armenia",2014,"EaP","arm","Eurasia","SCA","0",0,"1",2,2,2,0,2,1,2,2,0,0,1,1,2,0,0,0,1,19,36.80217608,6560,0.0018292683,0.003506098,0.0715677,0.03329118,0.03827651,54.62,9.37,2.25,2.25,4.25,2.25,2.25,2.5,2.75,2.64,27.38,27,-0.524,0.531,-0.902,-1.169,-1.162,0.718,1.148,0.725,-0.409,9,0.775,-0.315,1.098,1.475,1.632,0.838,0.828,0.709,4,5,6,2,-0.2,-0.297,-0.366,0.213,-0.562,9.18,37,0.646,0.354,0.208,0.21,1.12981990940228,0.657765284609979,0.354679802955665,0.666666666666667,0.5,0.583333333333333,0.685593827528288,0.558333333333333,0.584058558592483,0.541666666666667,0.356896551724138,2912403,6.52,12.636361135461,274.2,94.1490583549049,1,"2014",-0.467,1,0.534404946931115,11609512939.7542,0.000561608401130568,0.023618561900307,10,0,0.534404946931115,0.230036599435419,1,0.779599671315343,0.363594458739466,-0.5195,0.0231020267148046,0.0710127750838515
"Armenia",2017,"EaP","arm","Eurasia","SCA","0",0,"1",2,0,2,0,1,0,2,2,1,1,1,2,1,0,1,1,0,34.5,14.88414024,9199,0.0021741494,0.002608979,0.14423382,0.03080408,0.11342974,64.74,10.71,2,2,4.25,2.5,2.25,2.5,2.75,2.61,26.79,27,-0.56,0.674,-0.903,-0.825,-0.412,0.794,1.755,0.844,0.077,8,0.795,-0.831,0.499,2.074,1.65,0.802,0.814,0.684,4,5,6,2,-0.1,-0.621,-0.156,0.28,-0.561,9.29,35,0.637,0.391,0.225,0.256,1.35344160866203,0.751932536893886,0.336945812807882,0.8,0.533333333333333,0.833333333333333,0.579390589398163,0.516666666666667,0.54944728013628,0.708333333333333,0.222906403940887,2944809,11.72,5.05436523727006,391,132.776013656573,1,"2017",-0.467,1,0.606641942651126,11527458565.7334,0.00101670285199193,0.033919011529765,13,0,0.606641942651126,0.399924391625949,1,0.320272205975759,0.201661186668977,-0.7915,0.508268530867704,0.0746962298357573
"Armenia",2018,"EaP","arm","Eurasia","SCA","0",0,"1",1,0,2,1,0,1,1,2,1,1,2,0,2,2,1,1,2,46,25.20635837,9175,0.0020708447,0.002615804,0.07063527,0.02461382,0.04602144,68.25,11.77,2,2,4.25,2.5,2.25,2.5,2.5,2.57,26.19,26,-0.349,0.717,0.296,0.449,1.067,0.846,2.189,1.377,0.548,8,0.795,-0.688,1.632,1.784,2.507,0.456,0.447,0.423,4,4,6,2,-0.02,-0.436,-0.15,0.331,-0.113,9.35,35,0.762,0.472,0.335,0.306,1.43100209921556,0.826423049894589,0.440886699507389,0.8,0.533333333333333,0.583333333333333,0.502392714546256,0.583333333333333,0.622642198295963,0.625,0.400738916256158,2951776,15.58,8.53938726041542,372.8,126.296846373167,1,"2018",0.006,1,0.644482866421926,12457941907.0333,0.0012506078545128,0.029924686018124,14,0,0.644482866421926,0.179557058433255,1,0.00957093124463654,0.554025107078736,-0.4305,0.657413009535639,-0.00492647549476255
